"tag",value_count
"absolve",1
"absorb",1
"address",1
"advise",1
"affect",1
"agree",1
"aim",1
"answer",1
"argue",1
"arrange",1
"articulate",1
"assert",1
"assess",1
"attract",1
"award",1
"be",1
"bear",1
"become",1
"begin",1
"belong",1
"bend",1
"benefit",1
"blend",1
"boldly",1
"brave",1
"break",1
"bridge",1
"bring together",1
"budget",1
"calibrate",1
"captivate",1
"carry out",1
"champion",1
"charm",1
"coach",1
"coalesce",1
"cocreate",1
"command",1
"commemorate",1
"commend",1
"confess",1
"confidence",1
"confirm",1
"congratulate",1
"consent",1
"console",1
"construct",1
"contain",1
"convey",1
"count on",1
"curate",1
"deliberate",1
"depart",1
"depend",1
"desire",1
"detect",1
"devote",1
"devotion",1
"dignity",1
"discipline",1
"disclose",1
"discuss",1
"do",1
"document",1
"donate",1
"dream",1
"ease",1
"educate",1
"elect",1
"empathize",1
"employ",1
"empower",1
"encounter",1
"encourage",1
"energize",1
"enter",1
"entrust",1
"ethical",1
"evolve",1
"exchange",1
"excuse",1
"exonerate",1
"expand",1
"fabricate",1
"faith",1
"fight",1
"flex",1
"flow",1
"follow through",1
"forecast",1
"form",1
"free",1
"function",1
"fund",1
"generate",1
"handle",1
"highlight",1
"hope",1
"humor",1
"illuminate",1
"indulge",1
"inquire",1
"instigate",1
"instruct",1
"integrity",1
"interact",1
"invite",1
"jest",1
"justify",1
"kindle",1
"labor",1
"launch",1
"leave",1
"level",1
"lobby",1
"look after",1
"make",1
"mark",1
"market",1
"match",1
"mature",1
"meet",1
"mend",1
"moral",1
"navigate",1
"noble",1
"operate",1
"opt",1
"oversee",1
"pace",1
"pardon",1
"pass on",1
"perfect",1
"pick",1
"pivot",1
"pledge",1
"ponder",1
"portray",1
"pray",1
"predict",1
"prefer",1
"prepare",1
"present",1
"press on",1
"prevent",1
"principled",1
"profit",1
"progress",1
"project",1
"promise",1
"reassure",1
"rebound",1
"rebuild",1
"reclaim",1
"reconcile",1
"record",1
"recover",1
"recycle",1
"reduce",1
"regain",1
"rehabilitate",1
"reinvent",1
"rejoice",1
"rejuvenate",1
"relax",1
"relish",1
"remember",1
"renew",1
"report",1
"restrain",1
"reuse",1
"revel",1
"reverence",1
"roam",1
"rule",1
"sacrifice",1
"safeguard",1
"save",1
"search",1
"shield",1
"simplify",1
"soften",1
"specify",1
"stabilize",1
"standardize",1
"start",1
"stretch",1
"succeed",1
"surrender",1
"survey",1
"symbolize",1
"tackle",1
"take",1
"team",1
"tell",1
"tend",1
"thank",1
"toast",1
"trade",1
"travel",1
"truth",1
"try",1
"uncover",1
"unify",1
"unwind",1
"upright",1
"use",1
"validate",1
"virtuous",1
"visit",1
"visualize",1
"volunteer",1
"wait",1
"wander",1
"watch",1
"wonder",1
"woo",1
"worship",1
"acquire",2
"act",2
"adhere",2
"admit",2
"adore",2
"advocate",2
"aid",2
"align",2
"allocate",2
"allow",2
"ally",2
"alter",2
"aspire",2
"associate",2
"assume",2
"attain",2
"attempt",2
"change",2
"clarify",2
"combine",2
"comfort",2
"compete",2
"compose",2
"comprehend",2
"conceive",2
"conceptualize",2
"conduct",2
"confide",2
"conserve",2
"define",2
"discern",2
"distribute",2
"drive",2
"earn",2
"endeavor",2
"equalize",2
"expect",2
"feel",2
"follow",2
"foresee",2
"forgive",2
"formulate",2
"govern",2
"guard",2
"heal",2
"initiate",2
"innovate",2
"interpret",2
"introduce",2
"invent",2
"joke",2
"lead",2
"lighten",2
"link",2
"look forward",2
"manifest",2
"mentor",2
"merge",2
"moderate",2
"motivate",2
"nourish",2
"partner",2
"permit",2
"pioneer",2
"prioritize",2
"promote",2
"proportion",2
"reach",2
"receive",2
"rely",2
"resolve",2
"respond",2
"restore",2
"revolutionize",2
"risk",2
"savor",2
"secure",2
"select",2
"sense",2
"settle",2
"shape",2
"shift",2
"teach",2
"test",2
"think",2
"tolerate",2
"utilize",2
"verify",2
"welcome",2
"work",2
"yield",2
"accommodate",3
"admire",3
"amuse",3
"anticipate",3
"apply",3
"bond",3
"breathe",3
"celebrate",3
"center",3
"challenge",3
"communicate",3
"confront",3
"contemplate",3
"continue",3
"control",3
"cooperate",3
"dedicate",3
"delight",3
"deliver",3
"determine",3
"ensure",3
"entertain",3
"evaluate",3
"extend",3
"face",3
"find",3
"guide",3
"imagine",3
"include",3
"invest",3
"journey",3
"judge",3
"know",3
"laugh",3
"live",3
"love",3
"master",3
"modify",3
"monitor",3
"move",3
"originate",3
"own",3
"perform",3
"plan",3
"praise",3
"probe",3
"produce",3
"push",3
"question",3
"research",3
"rest",3
"soothe",3
"strive",3
"treasure",3
"treat",3
"venture",3
"accomplish",4
"achieve",4
