"tag",value_count
"accommodate",3
"admire",3
"amuse",3
"anticipate",3
"apply",3
"bond",3
"breathe",3
"celebrate",3
"center",3
"challenge",3
"communicate",3
"confront",3
"contemplate",3
"continue",3
"control",3
"cooperate",3
"dedicate",3
"delight",3
"deliver",3
"determine",3
"ensure",3
"entertain",3
"evaluate",3
"extend",3
"face",3
"find",3
"guide",3
"imagine",3
"include",3
"invest",3
"journey",3
"judge",3
"know",3
"laugh",3
"live",3
"love",3
"master",3
"modify",3
"monitor",3
"move",3
"originate",3
"own",3
"perform",3
"plan",3
"praise",3
"probe",3
"produce",3
"push",3
"question",3
"research",3
"rest",3
"soothe",3
"strive",3
"treasure",3
"treat",3
"venture",3
"accomplish",4
"achieve",4
"adjust",4
"believe",4
"calm",4
"care",4
"choose",4
"collaborate",4
"complete",4
"coordinate",4
"exercise",4
"exhibit",4
"explain",4
"grow",4
"implement",4
"influence",4
"inspire",4
"integrate",4
"notice",4
"perceive",4
"play",4
"realize",4
"relate",4
"release",4
"remain",4
"represent",4
"reveal",4
"stand",4
"sustain",4
"transform",4
"value",4
"withstand",4
"adapt",5
"advance",5
"analyze",5
"balance",5
"cherish",5
"commit",5
"craft",5
"cultivate",5
"decide",5
"display",5
"embody",5
"envision",5
"execute",5
"give",5
"harmonize",5
"investigate",5
"join",5
"offer",5
"reflect",5
"regulate",5
"seek",5
"study",5
"train",5
"undertake",5
"unite",5
"uphold",5
"attend",6
"consider",6
"defend",6
"direct",6
"endure",6
"enjoy",6
"establish",6
"focus",6
"learn",6
"observe",6
"overcome",6
"persist",6
"respect",6
"serve",6
"strengthen",6
"trust",6
"examine",7
"fulfill",7
"improve",7
"listen",7
"manage",7
"participate",7
"preserve",7
"speak",7
"contribute",8
"provide",8
"pursue",8
"show",8
"assist",9
"build",9
"demonstrate",9
"design",9
"discover",9
"embrace",9
"help",9
"honor",9
"appreciate",10
"experience",10
"explore",10
"nurture",10
"express",11
"accept",12
"engage",12
"protect",12
"recognize",12
"understand",12
"acknowledge",15
"connect",15
"share",15
"practice",17
"create",20
"develop",22
"maintain",22
"support",22
